Author,Anand Sanwal
Title,"What's the most unsexy, ""boring"" business you've ever seen that makes a crap ton of money?  (riches in niches)"
Date,"7:15 AM · Jul 3, 2020·Twitter Web App"
Comment,261  Retweets and comments 1.4K  Likes
Conversations,
,The Journeyman Newsletter @GuyOnTheIsland · Jul 5,"Replying to @asanwal
A self-serve car wash. Its a cash cow business. Especially in southern states where it rarely snows. ~$40k profit/year on the low end, ~$500k/year profit for a high-end operation.
2",
,Matt @BarrieMatt · Jul 3,"Replying to @asanwal
Mattress companies (that arent Casper).
1
3",
,Blake Belanger @blake4gb · Jul 4,"More info please? Mattress Firm isnt quite a world beater...
2",
,Navarre Trousselot @ntrouss · Jul 3,"Replying to @asanwal
I had a business that bought old mobile phones off people and then I resold them.

Made a very good profit, but I got so bored of it I shut it down.
3
1
4",
,d.unbelievable @dunbelievable · Jul 4,"Explain...
1",
,Rob Stewart @RobStewart95 · Jul 3,"Replying to @asanwal
Insurance
1
1",
,Gordon AL-Gekko @SaudiTitan · Jul 3,"Replying to @asanwal
Selling coffee is lucrative.
1",
,Norbu @Norbu · Jul 4,"Too crowded. Tons of Big players and millions of smaller fish. Incredibly low margin with so many unknown with weather and tariffs. Not a cash-generating business.
2",
,Ignatius J. Reilly @CryptoSecundus · Jul 4,"Replying to @asanwal
Compliance
1
2",
,Andrew Jackson @TheGrainiac · Jul 4,People hate the details of compliance but know the risk of non compliance is silly.,
,Francesco Pittarello @FrancescoPta · Jul 3,"Replying to @asanwal
Wish
1",
,larkerachel @larkerachel · Jul 3,"Replying to @asanwal
Companies that make rags for janitorial cleaning, cars, delicate house chores, etc
1",
,Alexandria Lafci @laughsee · Jul 3,"Replying to @asanwal
Mercury disposal
1",
,Derrick Branford @derrickbranford · Jul 3,"Replying to @asanwal
David Letterman & Jay Leno
1",
,Manuel eaudroit @mbeaudroit · Jul 3,"Replying to @asanwal
Chicken wings
1",
,A10 Stan Account @lutam619 · Jul 3,"Replying to @asanwal
VFS comes to mind
1",
,Spark! Consulting @StartupsSpark · Jul 3,"Replying to @asanwal
Bic biros - as basic as it gets but supplied all over the world
1",
